lambda / nm,absorption / (1/cm)
200,0.069
225,0.0274
250,0.0168
275,0.0107
300,0.0067
325,0.00418
350,0.00233
375,0.00117
400,0.00058
425,0.00038
450,0.00028
475,0.000247
500,0.00025
525,0.00032
550,0.00045
575,0.00079
600,0.0023
625,0.0028
650,0.0032
675,0.00415
700,0.006
725,0.0159
750,0.026
775,0.024
800,0.02
810,0.019858
820,0.023907
825,0.028
830,0.029069
840,0.034707
850,0.043
860,0.046759
870,0.051999
875,0.056
880,0.055978
890,0.060432
900,0.068
910,0.072913
920,0.10927
925,0.144
930,0.17296
940,0.26737
950,0.39
960,0.42
970,0.45
975,0.45
980,0.43
990,0.41
1000,0.36
1020,0.27
1040,0.16
1060,0.12
1080,0.13
1100,0.17
1120,0.52
1140,0.66
1160,0.89
1180,1.04
1200,1.04
1220,0.95
1240,0.88
1260,0.89
1280,0.98
1300,1.11
1320,1.38
1340,1.83
1360,2.77
1380,6.1
1400,12.39
1420,22.12
1440,28.8
1460,28.4
1480,21.23
1500,17.59
1520,14.05
1540,11.83
1560,9.67
1580,7.95
1600,6.72
1620,5.82
1640,4.98
1660,4.54
1680,4.49
1700,4.44
1720,5.11
1740,6.14
1760,7.14
1780,8.12
1800,8.03
1820,8.98
1840,10.24
1860,14.19
1880,31.08
1900,66.14
1920,114.54
1940,119.83
1960,105.79
1980,92.03
2000,69.12
2020,55.99
2040,44.97
2060,39.04
2080,31.42
2100,26.93
2120,24.01
2140,20.55
2160,18.62
2180,17.29
2200,16.51
2220,16.13
2240,16.55
2260,17.24
2280,19.84
2300,22.4
2320,26.81
2340,31.95
2360,37.27
2380,43.3
2400,50.06
2420,59.72
2440,66.95
2460,76.62
2480,86.14
2500,90.48
2520,102.23
2540,108.84
2560,115.36
2580,131.51
2600,153.21
2650,317.72
2700,884.3
2750,2696.1
2800,5161.2
2850,8157.1
2900,11613
2950,12694
3000,11394
3050,9888.3
3100,7783.1
3150,5385.6
3200,3628.6
3250,2358.6
3300,1401.3
3350,979.05
3400,720.72
3450,480.8
3500,337.5
3600,179.77
3700,122.27
3800,112.44
3900,122.44
4000,144.51
4100,172
4200,206
4300,247
4400,294
4500,374
4600,402
4700,420
4800,393
4900,351
5000,312
5100,274
5200,244
5300,232
5400,240
5500,265
5600,319
5700,448
5800,715
5900,1325
6000,2241
6100,2699
6200,1784
6300,1137
6400,881
6500,758
6600,678
6700,632
6800,604
6900,586
7000,574
7100,566
7200,560
7300,554
7400,550
7500,546
7600,542
7700,540
7800,540
7900,539
8000,539
8200,538
8400,540
8600,453
8800,550
9000,557
9200,567
9400,579
9600,594
9800,614
10000,638
10500,792
11000,1106
11500,1552
12000,2084
12500,2604
13000,2948
13500,3193
14000,3321
14500,3363
15000,3368
15500,3356
16000,3314
16500,3260
17000,3171
17500,3081
18000,2974
18500,2860
19000,2738
19500,2604
20000,2469
30000,1374
38000,1194
50000,1292
60000,1229
70000,1034
80000,859
90000,748
1.00E+05,669
2.00E+05,317
